Cross_ID,Cross_Date,Year,Program,Female_Parent,Male_Parent,Crossing_Location,Researcher,Seeds_Harvested,Germination_Rate,F1_Plants,Cross_Type,Purpose,Success_Rating,Notes
2020_MR3_C0001,2020-05-27,2020,MR3,MR3_P20,MR3_P75,Emerald,Dr. Johnson,43,0.95,62,Single,Disease Resistance,Excellent,Cross targeting drought tolerance
2020_MR3_C0002,2020-05-19,2020,MR3,MR3_P36,MR3_P72,Kingaroy,Dr. Brown,115,0.75,28,Backcross,Yield Improvement,Fair,Cross targeting quality
2020_MR3_C0003,2020-05-15,2020,MR3,MR3_P91,MR3_P78,Roma,Dr. Wilson,63,0.96,51,Single,Disease Resistance,Poor,Cross targeting drought tolerance
2020_MR3_C0004,2020-03-20,2020,MR3,MR3_P29,MR3_P23,Gatton,Dr. Thomas,138,0.75,104,Backcross,Climate Adaptation,Fair,Cross targeting drought tolerance
2020_MR4_C0005,2020-08-06,2020,MR4,MR4_P66,MR4_P54,Kingaroy,Dr. Anderson,142,0.94,106,Single,Climate Adaptation,Good,Cross targeting yield
2020_MR1_C0006,2020-03-14,2020,MR1,MR1_P7,MR1_P5,Warwick,Dr. Wilson,10,0.84,34,Single,Climate Adaptation,Fair,Cross targeting quality
2020_MR1_C0007,2020-03-21,2020,MR1,MR1_P9,MR1_P88,Dalby,Dr. Smith,16,0.87,30,Three-way,Yield Improvement,Excellent,Cross targeting drought tolerance
2020_MR4_C0008,2020-04-06,2020,MR4,MR4_P45,MR4_P46,Emerald,Dr. Anderson,100,0.83,17,Three-way,Yield Improvement,Excellent,Cross targeting yield
2020_MR3_C0009,2020-07-21,2020,MR3,MR3_P65,MR3_P43,Emerald,Dr. Davis,124,0.86,61,Single,Quality Enhancement,Good,Cross targeting drought tolerance
2020_MR2_C0010,2020-04-20,2020,MR2,MR2_P46,MR2_P98,Goondiwindi,Dr. Davis,24,0.95,55,Three-way,Yield Improvement,Good,Cross targeting yield
2020_MR2_C0011,2020-07-15,2020,MR2,MR2_P89,MR2_P46,Warwick,Dr. Smith,86,0.81,30,Backcross,Disease Resistance,Poor,Cross targeting quality
