Cross_ID,Cross_Date,Year,Program,Female_Parent,Male_Parent,Crossing_Location,Researcher,Seeds_Harvested,Germination_Rate,F1_Plants,Cross_Type,Purpose,Success_Rating,Notes
2024_MR4_C0001,2024-06-05,2024,MR4,MR4_P6,MR4_P24,Hermitage,Dr. Anderson,46,0.92,96,Backcross,Disease Resistance,Poor,Cross targeting quality
2024_MR1_C0002,2024-03-28,2024,MR1,MR1_P47,MR1_P61,Goondiwindi,Dr. Wilson,60,0.72,45,Double,Yield Improvement,Poor,Cross targeting quality
2024_MR3_C0003,2024-05-19,2024,MR3,MR3_P2,MR3_P1,Goondiwindi,Dr. Wilson,41,0.76,59,Single,Climate Adaptation,Fair,Cross targeting disease resistance
2024_MR3_C0004,2024-03-23,2024,MR3,MR3_P69,MR3_P27,Kingaroy,Dr. Wilson,74,0.71,12,Backcross,Yield Improvement,Good,Cross targeting disease resistance
2024_MR1_C0005,2024-05-01,2024,MR1,MR1_P12,MR1_P93,Dalby,Dr. Johnson,147,0.83,101,Backcross,Quality Enhancement,Poor,Cross targeting yield
2024_MR1_C0006,2024-06-24,2024,MR1,MR1_P6,MR1_P96,Gatton,Dr. Wilson,116,0.93,84,Single,Climate Adaptation,Good,Cross targeting yield
2024_MR2_C0007,2024-04-02,2024,MR2,MR2_P100,MR2_P56,Roma,Dr. Taylor,140,0.94,93,Three-way,Yield Improvement,Fair,Cross targeting quality
2024_MR4_C0008,2024-05-13,2024,MR4,MR4_P18,MR4_P79,Kingaroy,Dr. Thomas,102,0.8,30,Backcross,Disease Resistance,Fair,Cross targeting quality
2024_MR3_C0009,2024-08-26,2024,MR3,MR3_P96,MR3_P84,Dalby,Dr. Thomas,31,0.75,65,Three-way,Quality Enhancement,Good,Cross targeting disease resistance
2024_MR3_C0010,2024-07-07,2024,MR3,MR3_P65,MR3_P15,Dalby,Dr. Johnson,150,0.77,70,Three-way,Yield Improvement,Excellent,Cross targeting drought tolerance
2024_MR1_C0011,2024-06-22,2024,MR1,MR1_P51,MR1_P5,Hermitage,Dr. Thomas,54,0.79,117,Three-way,Quality Enhancement,Excellent,Cross targeting disease resistance
2024_MR2_C0012,2024-05-10,2024,MR2,MR2_P87,MR2_P68,Hermitage,Dr. Anderson,130,0.83,21,Double,Yield Improvement,Excellent,Cross targeting drought tolerance
2024_MR2_C0013,2024-04-02,2024,MR2,MR2_P45,MR2_P49,Goondiwindi,Dr. Johnson,107,0.94,85,Single,Quality Enhancement,Good,Cross targeting drought tolerance
2024_MR2_C0014,2024-05-04,2024,MR2,MR2_P68,MR2_P21,Roma,Dr. Johnson,119,0.85,58,Three-way,Yield Improvement,Fair,Cross targeting disease resistance
2024_MR3_C0015,2024-07-11,2024,MR3,MR3_P68,MR3_P85,Gatton,Dr. Anderson,131,0.83,108,Three-way,Quality Enhancement,Fair,Cross targeting yield
2024_MR3_C0016,2024-08-02,2024,MR3,MR3_P48,MR3_P8,Hermitage,Dr. Brown,60,0.83,54,Backcross,Climate Adaptation,Excellent,Cross targeting yield
2024_MR1_C0017,2024-05-24,2024,MR1,MR1_P91,MR1_P5,Warwick,Dr. Thomas,66,0.78,71,Single,Quality Enhancement,Excellent,Cross targeting yield
2024_MR1_C0018,2024-04-15,2024,MR1,MR1_P90,MR1_P40,Emerald,Dr. Thomas,77,0.93,59,Three-way,Disease Resistance,Excellent,Cross targeting drought tolerance
2024_MR1_C0019,2024-07-25,2024,MR1,MR1_P98,MR1_P32,Roma,Dr. Anderson,94,0.81,112,Backcross,Disease Resistance,Good,Cross targeting yield
2024_MR1_C0020,2024-07-16,2024,MR1,MR1_P49,MR1_P75,Dalby,Dr. Taylor,15,0.87,29,Double,Climate Adaptation,Poor,Cross targeting yield
2024_MR1_C0021,2024-04-21,2024,MR1,MR1_P33,MR1_P79,Goondiwindi,Dr. Thomas,38,0.81,45,Three-way,Climate Adaptation,Poor,Cross targeting disease resistance
2024_MR3_C0022,2024-08-23,2024,MR3,MR3_P98,MR3_P70,Hermitage,Dr. Taylor,44,0.93,50,Three-way,Quality Enhancement,Excellent,Cross targeting drought tolerance
2024_MR4_C0023,2024-07-21,2024,MR4,MR4_P63,MR4_P32,Roma,Dr. Brown,120,0.89,103,Backcross,Disease Resistance,Poor,Cross targeting drought tolerance
2024_MR1_C0024,2024-04-09,2024,MR1,MR1_P51,MR1_P82,Emerald,Dr. Johnson,97,0.78,20,Three-way,Disease Resistance,Good,Cross targeting quality
2024_MR4_C0025,2024-07-13,2024,MR4,MR4_P69,MR4_P71,Dalby,Dr. Brown,13,0.98,35,Double,Yield Improvement,Fair,Cross targeting yield
2024_MR2_C0026,2024-04-10,2024,MR2,MR2_P99,MR2_P56,Emerald,Dr. Taylor,141,0.71,47,Backcross,Disease Resistance,Good,Cross targeting disease resistance
2024_MR1_C0027,2024-04-01,2024,MR1,MR1_P34,MR1_P94,Kingaroy,Dr. Davis,133,0.8,9,Single,Disease Resistance,Excellent,Cross targeting drought tolerance
2024_MR2_C0028,2024-05-08,2024,MR2,MR2_P67,MR2_P22,Goondiwindi,Dr. Smith,86,0.84,110,Three-way,Yield Improvement,Excellent,Cross targeting disease resistance
2024_MR4_C0029,2024-05-28,2024,MR4,MR4_P94,MR4_P13,Warwick,Dr. Johnson,56,0.79,32,Three-way,Climate Adaptation,Good,Cross targeting disease resistance
2024_MR1_C0030,2024-07-17,2024,MR1,MR1_P53,MR1_P28,Hermitage,Dr. Anderson,135,0.83,88,Backcross,Climate Adaptation,Poor,Cross targeting drought tolerance
2024_MR4_C0031,2024-05-07,2024,MR4,MR4_P79,MR4_P64,Dalby,Dr. Davis,39,0.91,78,Double,Climate Adaptation,Poor,Cross targeting yield
2024_MR3_C0032,2024-07-22,2024,MR3,MR3_P39,MR3_P47,Emerald,Dr. Taylor,78,0.96,27,Single,Climate Adaptation,Good,Cross targeting yield
2024_MR3_C0033,2024-04-24,2024,MR3,MR3_P88,MR3_P73,Goondiwindi,Dr. Davis,99,0.82,72,Backcross,Climate Adaptation,Poor,Cross targeting drought tolerance
2024_MR3_C0034,2024-06-01,2024,MR3,MR3_P60,MR3_P28,Goondiwindi,Dr. Thomas,150,0.97,70,Backcross,Climate Adaptation,Poor,Cross targeting drought tolerance
2024_MR2_C0035,2024-04-15,2024,MR2,MR2_P83,MR2_P92,Warwick,Dr. Anderson,26,0.83,41,Single,Disease Resistance,Poor,Cross targeting yield
2024_MR3_C0036,2024-06-11,2024,MR3,MR3_P82,MR3_P33,Dalby,Dr. Brown,61,0.77,59,Single,Yield Improvement,Good,Cross targeting disease resistance
2024_MR1_C0037,2024-05-22,2024,MR1,MR1_P13,MR1_P100,Warwick,Dr. Wilson,81,0.74,75,Double,Quality Enhancement,Good,Cross targeting disease resistance
2024_MR3_C0038,2024-07-03,2024,MR3,MR3_P62,MR3_P51,Warwick,Dr. Taylor,99,0.87,57,Backcross,Quality Enhancement,Fair,Cross targeting disease resistance
2024_MR1_C0039,2024-06-05,2024,MR1,MR1_P70,MR1_P20,Emerald,Dr. Anderson,100,0.85,74,Backcross,Disease Resistance,Excellent,Cross targeting disease resistance
2024_MR1_C0040,2024-03-27,2024,MR1,MR1_P4,MR1_P58,Goondiwindi,Dr. Johnson,141,0.88,13,Three-way,Quality Enhancement,Excellent,Cross targeting disease resistance
2024_MR4_C0041,2024-05-09,2024,MR4,MR4_P27,MR4_P41,Roma,Dr. Brown,111,0.82,86,Single,Yield Improvement,Excellent,Cross targeting yield
2024_MR1_C0042,2024-04-05,2024,MR1,MR1_P36,MR1_P45,Kingaroy,Dr. Brown,120,0.8,32,Three-way,Disease Resistance,Poor,Cross targeting yield
2024_MR1_C0043,2024-07-05,2024,MR1,MR1_P44,MR1_P80,Emerald,Dr. Thomas,109,0.83,8,Single,Disease Resistance,Excellent,Cross targeting yield
2024_MR2_C0044,2024-05-09,2024,MR2,MR2_P51,MR2_P22,Goondiwindi,Dr. Thomas,31,0.94,20,Single,Disease Resistance,Poor,Cross targeting quality
2024_MR3_C0045,2024-03-11,2024,MR3,MR3_P11,MR3_P65,Goondiwindi,Dr. Anderson,14,0.9,91,Double,Disease Resistance,Poor,Cross targeting yield
2024_MR2_C0046,2024-03-12,2024,MR2,MR2_P13,MR2_P93,Gatton,Dr. Thomas,115,0.9,57,Backcross,Climate Adaptation,Poor,Cross targeting drought tolerance
2024_MR1_C0047,2024-05-11,2024,MR1,MR1_P82,MR1_P64,Warwick,Dr. Thomas,45,0.89,63,Double,Yield Improvement,Good,Cross targeting quality
2024_MR4_C0048,2024-07-21,2024,MR4,MR4_P38,MR4_P34,Kingaroy,Dr. Davis,81,0.93,114,Double,Quality Enhancement,Excellent,Cross targeting drought tolerance
