Cross_ID,Cross_Date,Year,Program,Female_Parent,Male_Parent,Crossing_Location,Researcher,Seeds_Harvested,Germination_Rate,F1_Plants,Cross_Type,Purpose,Success_Rating,Notes
2022_MR4_C0001,2022-07-10,2022,MR4,MR4_P33,MR4_P17,Kingaroy,Dr. Johnson,68,0.79,40,Single,Yield Improvement,Poor,Cross targeting quality
2022_MR1_C0002,2022-08-06,2022,MR1,MR1_P5,MR1_P55,Goondiwindi,Dr. Brown,103,0.82,107,Three-way,Climate Adaptation,Poor,Cross targeting disease resistance
2022_MR3_C0003,2022-04-09,2022,MR3,MR3_P11,MR3_P9,Kingaroy,Dr. Johnson,42,0.84,77,Backcross,Quality Enhancement,Poor,Cross targeting drought tolerance
2022_MR4_C0004,2022-03-14,2022,MR4,MR4_P20,MR4_P76,Hermitage,Dr. Smith,78,0.76,17,Backcross,Climate Adaptation,Excellent,Cross targeting drought tolerance
2022_MR1_C0005,2022-04-27,2022,MR1,MR1_P78,MR1_P89,Emerald,Dr. Smith,26,0.74,77,Three-way,Quality Enhancement,Fair,Cross targeting quality
2022_MR4_C0006,2022-07-18,2022,MR4,MR4_P52,MR4_P48,Emerald,Dr. Thomas,65,0.85,114,Three-way,Quality Enhancement,Good,Cross targeting yield
2022_MR3_C0007,2022-08-03,2022,MR3,MR3_P52,MR3_P57,Hermitage,Dr. Anderson,40,0.86,23,Backcross,Yield Improvement,Fair,Cross targeting disease resistance
2022_MR3_C0008,2022-04-09,2022,MR3,MR3_P87,MR3_P15,Hermitage,Dr. Davis,36,0.71,41,Double,Disease Resistance,Excellent,Cross targeting yield
2022_MR3_C0009,2022-07-07,2022,MR3,MR3_P71,MR3_P68,Hermitage,Dr. Johnson,30,0.95,120,Single,Climate Adaptation,Good,Cross targeting yield
2022_MR2_C0010,2022-08-13,2022,MR2,MR2_P21,MR2_P11,Dalby,Dr. Johnson,125,0.83,89,Backcross,Quality Enhancement,Poor,Cross targeting yield
2022_MR4_C0011,2022-07-16,2022,MR4,MR4_P96,MR4_P31,Warwick,Dr. Thomas,62,0.82,79,Double,Yield Improvement,Poor,Cross targeting yield
2022_MR4_C0012,2022-06-03,2022,MR4,MR4_P33,MR4_P14,Roma,Dr. Thomas,69,0.91,52,Single,Disease Resistance,Poor,Cross targeting drought tolerance
2022_MR3_C0013,2022-06-04,2022,MR3,MR3_P12,MR3_P53,Kingaroy,Dr. Johnson,101,0.97,65,Backcross,Quality Enhancement,Excellent,Cross targeting drought tolerance
2022_MR2_C0014,2022-04-20,2022,MR2,MR2_P44,MR2_P6,Goondiwindi,Dr. Johnson,77,0.95,99,Double,Climate Adaptation,Excellent,Cross targeting disease resistance
2022_MR2_C0015,2022-05-08,2022,MR2,MR2_P24,MR2_P97,Warwick,Dr. Brown,24,0.77,99,Backcross,Climate Adaptation,Poor,Cross targeting disease resistance
2022_MR1_C0016,2022-05-03,2022,MR1,MR1_P11,MR1_P99,Roma,Dr. Anderson,51,0.92,32,Double,Quality Enhancement,Good,Cross targeting disease resistance
2022_MR1_C0017,2022-06-04,2022,MR1,MR1_P85,MR1_P98,Goondiwindi,Dr. Taylor,101,0.92,82,Three-way,Climate Adaptation,Poor,Cross targeting disease resistance
2022_MR2_C0018,2022-03-07,2022,MR2,MR2_P36,MR2_P39,Dalby,Dr. Thomas,142,0.74,111,Three-way,Disease Resistance,Poor,Cross targeting disease resistance
2022_MR4_C0019,2022-07-18,2022,MR4,MR4_P73,MR4_P4,Warwick,Dr. Brown,102,0.78,86,Double,Disease Resistance,Excellent,Cross targeting yield
2022_MR4_C0020,2022-08-02,2022,MR4,MR4_P48,MR4_P56,Roma,Dr. Thomas,49,0.81,70,Three-way,Quality Enhancement,Poor,Cross targeting disease resistance
2022_MR3_C0021,2022-08-10,2022,MR3,MR3_P63,MR3_P59,Emerald,Dr. Thomas,120,0.8,23,Single,Climate Adaptation,Good,Cross targeting quality
2022_MR4_C0022,2022-08-19,2022,MR4,MR4_P63,MR4_P94,Hermitage,Dr. Anderson,33,0.84,77,Single,Climate Adaptation,Fair,Cross targeting drought tolerance
2022_MR3_C0023,2022-05-21,2022,MR3,MR3_P12,MR3_P41,Gatton,Dr. Thomas,50,0.92,105,Double,Climate Adaptation,Fair,Cross targeting yield
