Cross_ID,Cross_Date,Year,Program,Female_Parent,Male_Parent,Crossing_Location,Researcher,Seeds_Harvested,Germination_Rate,F1_Plants,Cross_Type,Purpose,Success_Rating,Notes
2023_MR4_C0001,2023-05-25,2023,MR4,MR4_P87,MR4_P88,Hermitage,Dr. Wilson,148,0.92,98,Single,Climate Adaptation,Excellent,Cross targeting yield
2023_MR2_C0002,2023-05-13,2023,MR2,MR2_P41,MR2_P8,Kingaroy,Dr. Wilson,99,0.88,106,Three-way,Disease Resistance,Excellent,Cross targeting disease resistance
2023_MR1_C0003,2023-08-20,2023,MR1,MR1_P93,MR1_P21,Goondiwindi,Dr. Smith,52,0.97,44,Backcross,Climate Adaptation,Good,Cross targeting quality
2023_MR4_C0004,2023-03-03,2023,MR4,MR4_P36,MR4_P74,Goondiwindi,Dr. Wilson,112,0.89,33,Three-way,Climate Adaptation,Fair,Cross targeting quality
2023_MR4_C0005,2023-06-10,2023,MR4,MR4_P12,MR4_P49,Emerald,Dr. Smith,52,0.86,14,Backcross,Disease Resistance,Good,Cross targeting quality
2023_MR2_C0006,2023-07-03,2023,MR2,MR2_P54,MR2_P20,Roma,Dr. Anderson,82,0.73,107,Single,Yield Improvement,Excellent,Cross targeting disease resistance
2023_MR2_C0007,2023-07-24,2023,MR2,MR2_P90,MR2_P41,Warwick,Dr. Brown,83,0.83,91,Double,Yield Improvement,Excellent,Cross targeting quality
2023_MR1_C0008,2023-05-17,2023,MR1,MR1_P69,MR1_P20,Gatton,Dr. Anderson,65,0.92,112,Backcross,Climate Adaptation,Good,Cross targeting yield
2023_MR3_C0009,2023-05-23,2023,MR3,MR3_P11,MR3_P89,Kingaroy,Dr. Taylor,36,0.7,69,Single,Quality Enhancement,Fair,Cross targeting yield
2023_MR2_C0010,2023-08-21,2023,MR2,MR2_P2,MR2_P37,Kingaroy,Dr. Brown,128,0.95,63,Three-way,Quality Enhancement,Excellent,Cross targeting drought tolerance
